id,name,class
AJ_Cook_0001,AJ_Cook,0
AJ_Lamas_0001,AJ_Lamas,1
Aaron_Eckhart_0001,Aaron_Eckhart,2
Aaron_Guiel_0001,Aaron_Guiel,3
Aaron_Patterson_0001,Aaron_Patterson,4
Aaron_Peirsol_0001,Aaron_Peirsol,5
Aaron_Peirsol_0002,Aaron_Peirsol,5
Aaron_Peirsol_0003,Aaron_Peirsol,5
Aaron_Peirsol_0004,Aaron_Peirsol,5
Aaron_Pena_0001,Aaron_Pena,6
Aaron_Sorkin_0001,Aaron_Sorkin,7
Aaron_Sorkin_0002,Aaron_Sorkin,7
Aaron_Tippin_0001,Aaron_Tippin,8
Abba_Eban_0001,Abba_Eban,9
Abbas_Kiarostami_0001,Abbas_Kiarostami,10
Abdel_Aziz_Al-Hakim_0001,Abdel_Aziz_Al-Hakim,11
Abdel_Madi_Shabneh_0001,Abdel_Madi_Shabneh,12
Abdel_Nasser_Assidi_0001,Abdel_Nasser_Assidi,13
Abdel_Nasser_Assidi_0002,Abdel_Nasser_Assidi,13
Abdoulaye_Wade_0001,Abdoulaye_Wade,14
Abdoulaye_Wade_0002,Abdoulaye_Wade,14
Abdoulaye_Wade_0003,Abdoulaye_Wade,14
Abdoulaye_Wade_0004,Abdoulaye_Wade,14
Abdul_Majeed_Shobokshi_0001,Abdul_Majeed_Shobokshi,15
Abdul_Rahman_0001,Abdul_Rahman,16
Abdulaziz_Kamilov_0001,Abdulaziz_Kamilov,17
Abdullah_0001,Abdullah,18
Abdullah_0002,Abdullah,18
Abdullah_0003,Abdullah,18
Abdullah_0004,Abdullah,18
Abdullah_Ahmad_Badawi_0001,Abdullah_Ahmad_Badawi,19
Abdullah_Gul_0001,Abdullah_Gul,20
Abdullah_Gul_0002,Abdullah_Gul,20
Abdullah_Gul_0003,Abdullah_Gul,20
Abdullah_Gul_0004,Abdullah_Gul,20
Abdullah_Gul_0005,Abdullah_Gul,20
Abdullah_Gul_0006,Abdullah_Gul,20
Abdullah_Gul_0007,Abdullah_Gul,20
Abdullah_Gul_0008,Abdullah_Gul,20
Abdullah_Gul_0009,Abdullah_Gul,20
Abdullah_Gul_0010,Abdullah_Gul,20
Abdullah_Gul_0011,Abdullah_Gul,20
Abdullah_Gul_0012,Abdullah_Gul,20
Abdullah_Gul_0013,Abdullah_Gul,20
Abdullah_Gul_0014,Abdullah_Gul,20
Abdullah_Gul_0015,Abdullah_Gul,20
Abdullah_Gul_0016,Abdullah_Gul,20
Abdullah_Gul_0017,Abdullah_Gul,20
Abdullah_Gul_0018,Abdullah_Gul,20
Abdullah_Gul_0019,Abdullah_Gul,20
Abdullah_Nasseef_0001,Abdullah_Nasseef,21
Abdullah_al-Attiyah_0001,Abdullah_al-Attiyah,22
Abdullah_al-Attiyah_0002,Abdullah_al-Attiyah,22
Abdullah_al-Attiyah_0003,Abdullah_al-Attiyah,22
Abdullatif_Sener_0001,Abdullatif_Sener,23
Abdullatif_Sener_0002,Abdullatif_Sener,23
Abel_Aguilar_0001,Abel_Aguilar,24
Abel_Pacheco_0001,Abel_Pacheco,25
Abel_Pacheco_0002,Abel_Pacheco,25
Abel_Pacheco_0003,Abel_Pacheco,25
Abel_Pacheco_0004,Abel_Pacheco,25
Abid_Hamid_Mahmud_Al-Tikriti_0001,Abid_Hamid_Mahmud_Al-Tikriti,26
Abid_Hamid_Mahmud_Al-Tikriti_0002,Abid_Hamid_Mahmud_Al-Tikriti,26
Abid_Hamid_Mahmud_Al-Tikriti_0003,Abid_Hamid_Mahmud_Al-Tikriti,26
Abner_Martinez_0001,Abner_Martinez,27
Abraham_Foxman_0001,Abraham_Foxman,28
Aby_Har-Even_0001,Aby_Har-Even,29
Adam_Ant_0001,Adam_Ant,30
Adam_Freier_0001,Adam_Freier,31
Adam_Herbert_0001,Adam_Herbert,32
Adam_Kennedy_0001,Adam_Kennedy,33
Adam_Mair_0001,Adam_Mair,34
Adam_Rich_0001,Adam_Rich,35
Adam_Sandler_0001,Adam_Sandler,36
Adam_Sandler_0002,Adam_Sandler,36
Adam_Sandler_0003,Adam_Sandler,36
Adam_Sandler_0004,Adam_Sandler,36
Adam_Scott_0001,Adam_Scott,37
Adam_Scott_0002,Adam_Scott,37
Adel_Al-Jubeir_0001,Adel_Al-Jubeir,38
Adel_Al-Jubeir_0002,Adel_Al-Jubeir,38
Adel_Al-Jubeir_0003,Adel_Al-Jubeir,38
Adelina_Avila_0001,Adelina_Avila,39
Adisai_Bodharamik_0001,Adisai_Bodharamik,40
Adolfo_Aguilar_Zinser_0001,Adolfo_Aguilar_Zinser,41
Adolfo_Aguilar_Zinser_0002,Adolfo_Aguilar_Zinser,41
Adolfo_Aguilar_Zinser_0003,Adolfo_Aguilar_Zinser,41
Adolfo_Rodriguez_Saa_0001,Adolfo_Rodriguez_Saa,42
Adolfo_Rodriguez_Saa_0002,Adolfo_Rodriguez_Saa,42
Adoor_Gopalakarishnan_0001,Adoor_Gopalakarishnan,43
Adrian_Annus_0001,Adrian_Annus,44
Adrian_Fernandez_0001,Adrian_Fernandez,45
Adrian_McPherson_0001,Adrian_McPherson,46
Adrian_McPherson_0002,Adrian_McPherson,46
Adrian_Murrell_0001,Adrian_Murrell,47
Adrian_Nastase_0001,Adrian_Nastase,48
Adrian_Nastase_0002,Adrian_Nastase,48
Adriana_Lima_0001,Adriana_Lima,49
Adriana_Perez_Navarro_0001,Adriana_Perez_Navarro,50
Adrianna_Zuzic_0001,Adrianna_Zuzic,51
Adrien_Brody_0001,Adrien_Brody,52
Adrien_Brody_0002,Adrien_Brody,52
Adrien_Brody_0003,Adrien_Brody,52
Adrien_Brody_0004,Adrien_Brody,52
Adrien_Brody_0005,Adrien_Brody,52
Adrien_Brody_0006,Adrien_Brody,52
Adrien_Brody_0007,Adrien_Brody,52
Adrien_Brody_0008,Adrien_Brody,52
Adrien_Brody_0009,Adrien_Brody,52
Adrien_Brody_0010,Adrien_Brody,52
Adrien_Brody_0011,Adrien_Brody,52
Adrien_Brody_0012,Adrien_Brody,52
Afton_Smith_0001,Afton_Smith,53
Agbani_Darego_0001,Agbani_Darego,54
Agnelo_Queiroz_0001,Agnelo_Queiroz,55
Agnes_Bruckner_0001,Agnes_Bruckner,56
Ahmad_Jbarah_0001,Ahmad_Jbarah,57
Ahmad_Masood_0001,Ahmad_Masood,58
Ahmad_Masood_0002,Ahmad_Masood,58
Ahmed_Ahmed_0001,Ahmed_Ahmed,59
Ahmed_Chalabi_0001,Ahmed_Chalabi,60
Ahmed_Chalabi_0002,Ahmed_Chalabi,60
Ahmed_Chalabi_0003,Ahmed_Chalabi,60
Ahmed_Chalabi_0004,Ahmed_Chalabi,60
Ahmed_Chalabi_0005,Ahmed_Chalabi,60
Ahmed_Ghazi_0001,Ahmed_Ghazi,61
Ahmed_Ibrahim_Bilal_0001,Ahmed_Ibrahim_Bilal,62
Ahmed_Lopez_0001,Ahmed_Lopez,63
Ahmed_Qureia_0001,Ahmed_Qureia,64
Ahmet_Demir_0001,Ahmet_Demir,65
Ahmet_Necdet_Sezer_0001,Ahmet_Necdet_Sezer,66
Ahmet_Necdet_Sezer_0002,Ahmet_Necdet_Sezer,66
Ai_Sugiyama_0001,Ai_Sugiyama,67
Ai_Sugiyama_0002,Ai_Sugiyama,67
Ai_Sugiyama_0003,Ai_Sugiyama,67
Ai_Sugiyama_0004,Ai_Sugiyama,67
Ai_Sugiyama_0005,Ai_Sugiyama,67
Aicha_El_Ouafi_0001,Aicha_El_Ouafi,68
Aicha_El_Ouafi_0002,Aicha_El_Ouafi,68
Aicha_El_Ouafi_0003,Aicha_El_Ouafi,68
Aidan_Quinn_0001,Aidan_Quinn,69
Aileen_Riggin_Soule_0001,Aileen_Riggin_Soule,70
Ain_Seppik_0001,Ain_Seppik,71
Ainsworth_Dyer_0001,Ainsworth_Dyer,72
Aishwarya_Rai_0001,Aishwarya_Rai,73
Aitor_Gonzalez_0001,Aitor_Gonzalez,74
Aitor_Gonzalez_0002,Aitor_Gonzalez,74
Aiysha_Smith_0001,Aiysha_Smith,75
Ajit_Agarkar_0001,Ajit_Agarkar,76
Akbar_Al_Baker_0001,Akbar_Al_Baker,77
Akbar_Hashemi_Rafsanjani_0001,Akbar_Hashemi_Rafsanjani,78
Akbar_Hashemi_Rafsanjani_0002,Akbar_Hashemi_Rafsanjani,78
Akbar_Hashemi_Rafsanjani_0003,Akbar_Hashemi_Rafsanjani,78
Akhmed_Zakayev_0001,Akhmed_Zakayev,79
Akhmed_Zakayev_0002,Akhmed_Zakayev,79
Akhmed_Zakayev_0003,Akhmed_Zakayev,79
Akiko_Morigami_0001,Akiko_Morigami,80
Akmal_Taher_0001,Akmal_Taher,81
Al_Cardenas_0001,Al_Cardenas,82
Al_Davis_0001,Al_Davis,83
Al_Davis_0002,Al_Davis,83
Al_Gore_0001,Al_Gore,84
Al_Gore_0002,Al_Gore,84
Al_Gore_0003,Al_Gore,84
Al_Gore_0004,Al_Gore,84
Al_Gore_0005,Al_Gore,84
Al_Gore_0006,Al_Gore,84
Al_Gore_0007,Al_Gore,84
Al_Gore_0008,Al_Gore,84
Al_Leiter_0001,Al_Leiter,85
Al_Pacino_0001,Al_Pacino,86
Al_Pacino_0002,Al_Pacino,86
Al_Pacino_0003,Al_Pacino,86
Al_Sharpton_0001,Al_Sharpton,87
Al_Sharpton_0002,Al_Sharpton,87
Al_Sharpton_0003,Al_Sharpton,87
Al_Sharpton_0004,Al_Sharpton,87
Al_Sharpton_0005,Al_Sharpton,87
Al_Sharpton_0006,Al_Sharpton,87
Al_Sharpton_0007,Al_Sharpton,87
Alain_Cervantes_0001,Alain_Cervantes,88
Alain_Ducasse_0001,Alain_Ducasse,89
Alan_Ball_0001,Alan_Ball,90
Alan_Ball_0002,Alan_Ball,90
Alan_Dershowitz_0001,Alan_Dershowitz,91
Alan_Dreher_0001,Alan_Dreher,92
Alan_Greenspan_0001,Alan_Greenspan,93
Alan_Greenspan_0002,Alan_Greenspan,93
Alan_Greenspan_0003,Alan_Greenspan,93
Alan_Greenspan_0004,Alan_Greenspan,93
Alan_Greenspan_0005,Alan_Greenspan,93
Alan_Greer_0001,Alan_Greer,94
Alan_Jackson_0001,Alan_Jackson,95
Alan_Mulally_0001,Alan_Mulally,96
Alan_Mulally_0002,Alan_Mulally,96
Alan_Stonecipher_0001,Alan_Stonecipher,97
Alan_Tang_Kwong-wing_0001,Alan_Tang_Kwong-wing,98
